1 2 | *
1 3 | *
1 4 | *
1 5 | *
1 6 | *
1 7 | *
1 8 | *
1 9 | *
1 10 | *
1 11 | *
1 12 | *
1 13 | *
1 14 | *
1 15 | *
1 16 | *
1 17 | *
1 18 | *
1 20 | *
1 21 | *
1 22 | *
1 23 | *
1 24 | *
1 25 | *
1 26 | *
1 27 | *
1 28 | *
1 29 | *
1 30 | *
1 31 | *
1 32 | *
1 33 | *
1 34 | *
1 35 | *
1 36 | *
2 1 | *
2 9 | *
2 18 | *
2 20 | *
2 29 | *
2 37 | *
3 1 | *
3 9 | *
3 18 | *
3 20 | *
3 29 | *
3 37 | *
4 9 | *
4 18 | *
4 20 | *
4 29 | *
5 1 | *
5 9 | *
5 18 | *
5 20 | *
5 29 | *
5 37 | *
6 1 | *
6 2 | *
6 3 | *
6 4 | *
6 5 | *
6 6 | *
6 7 | *
6 8 | *
6 9 | *
6 10 | *
6 11 | *
6 12 | *
6 13 | *
6 14 | *
6 15 | *
6 16 | *
6 17 | *
6 18 | *
6 19 | *
6 20 | *
6 21 | *
6 22 | *
6 23 | *
6 24 | *
6 25 | *
6 26 | *
6 27 | *
6 28 | *
6 29 | *
6 30 | *
6 31 | *
6 32 | *
6 33 | *
6 34 | *
6 35 | *
6 36 | *
6 37 | *
7 1 | *
7 9 | *
7 15 | *
7 23 | *
7 29 | *
7 37 | *
8 1 | *
8 9 | *
8 15 | *
8 23 | *
8 29 | *
8 37 | *
9 1 | *
9 2 | *
9 3 | *
9 4 | *
9 9 | *
9 10 | *
9 11 | *
9 12 | *
9 15 | *
9 16 | *
9 17 | *
9 18 | *
9 20 | *
9 21 | *
9 22 | *
9 23 | *
9 26 | *
9 27 | *
9 28 | *
9 29 | *
9 34 | *
9 35 | *
9 36 | *
9 37 | *
10 1 | *
10 4 | *
10 5 | *
10 6 | *
10 7 | *
10 8 | *
10 9 | *
10 12 | *
10 18 | *
10 20 | *
10 26 | *
10 29 | *
10 30 | *
10 31 | *
10 32 | *
10 33 | *
10 34 | *
10 37 | *
11 1 | *
11 9 | *
11 12 | *
11 18 | *
11 20 | *
11 26 | *
11 29 | *
11 37 | *
12 1 | *
12 4 | *
12 5 | *
12 6 | *
12 7 | *
12 8 | *
12 9 | *
12 10 | *
12 11 | *
12 12 | *
12 18 | *
12 20 | *
12 26 | *
12 27 | *
12 28 | *
12 29 | *
12 30 | *
12 31 | *
12 32 | *
12 33 | *
12 34 | *
12 37 | *
13 1 | *
13 2 | *
13 3 | *
13 4 | *
13 9 | *
13 12 | *
13 13 | *
13 14 | *
13 15 | *
13 16 | *
13 17 | *
13 18 | *
13 19 | *
13 20 | *
13 21 | *
13 22 | *
13 23 | *
13 24 | *
13 25 | *
13 26 | *
13 29 | *
13 34 | *
13 35 | *
13 36 | *
13 37 | *
14 9 | *
14 12 | *
14 15 | *
14 19 | *
14 23 | *
14 26 | *
14 29 | *
15 1 | *
15 2 | *
15 3 | *
15 4 | *
15 5 | *
15 6 | *
15 7 | *
15 8 | *
15 9 | *
15 10 | *
15 11 | *
15 12 | *
15 13 | *
15 14 | *
15 15 | *
15 16 | *
15 17 | *
15 18 | *
15 20 | *
15 21 | *
15 22 | *
15 23 | *
15 24 | *
15 25 | *
15 26 | *
15 27 | *
15 28 | *
15 29 | *
15 30 | *
15 31 | *
15 32 | *
15 33 | *
15 34 | *
15 35 | *
15 36 | *
15 37 | *
16 1 | *
16 9 | *
16 12 | *
16 26 | *
16 29 | *
16 37 | *
17 1 | *
17 9 | *
17 12 | *
17 26 | *
17 29 | *
17 37 | *
18 1 | *
18 2 | *
18 3 | *
18 4 | *
18 5 | *
18 6 | *
18 9 | *
18 12 | *
18 13 | *
18 14 | *
18 15 | *
18 16 | *
18 17 | *
18 21 | *
18 22 | *
18 23 | *
18 24 | *
18 25 | *
18 26 | *
18 29 | *
18 32 | *
18 33 | *
18 34 | *
18 35 | *
18 36 | *
18 37 | *
19 6 | *
19 9 | *
19 12 | *
19 17 | *
19 21 | *
19 26 | *
19 29 | *
19 32 | *
20 6 | *
20 9 | *
20 12 | *
20 17 | *
20 21 | *
20 26 | *
20 29 | *
20 32 | *
21 1 | *
21 2 | *
21 3 | *
21 4 | *
21 5 | *
21 6 | *
21 9 | *
21 12 | *
21 17 | *
21 21 | *
21 26 | *
21 29 | *
21 32 | *
21 33 | *
21 34 | *
21 35 | *
21 36 | *
21 37 | *
22 1 | *
22 6 | *
22 9 | *
22 12 | *
22 13 | *
22 14 | *
22 15 | *
22 16 | *
22 17 | *
22 18 | *
22 19 | *
22 20 | *
22 21 | *
22 22 | *
22 23 | *
22 24 | *
22 25 | *
22 26 | *
22 29 | *
22 32 | *
22 37 | *
23 1 | *
23 6 | *
23 9 | *
23 10 | *
23 11 | *
23 12 | *
23 26 | *
23 27 | *
23 28 | *
23 29 | *
23 32 | *
23 37 | *
24 6 | *
24 12 | *
24 26 | *
24 32 | *
25 1 | *
25 6 | *
25 7 | *
25 8 | *
25 9 | *
25 10 | *
25 11 | *
25 12 | *
25 13 | *
25 14 | *
25 15 | *
25 16 | *
25 17 | *
25 21 | *
25 22 | *
25 23 | *
25 24 | *
25 25 | *
25 26 | *
25 27 | *
25 28 | *
25 29 | *
25 30 | *
25 31 | *
25 32 | *
25 37 | *
26 1 | *
26 6 | *
26 17 | *
26 21 | *
26 32 | *
26 37 | *
27 1 | *
27 6 | *
27 17 | *
27 21 | *
27 32 | *
27 37 | *
28 2 | *
28 3 | *
28 4 | *
28 5 | *
28 6 | *
28 7 | *
28 8 | *
28 9 | *
28 10 | *
28 11 | *
28 12 | *
28 13 | *
28 14 | *
28 15 | *
28 16 | *
28 17 | *
28 18 | *
28 19 | *
28 20 | *
28 21 | *
28 22 | *
28 23 | *
28 24 | *
28 25 | *
28 26 | *
28 27 | *
28 28 | *
28 29 | *
28 30 | *
28 31 | *
28 32 | *
28 33 | *
28 34 | *
28 35 | *
28 36 | *
